TES,JPN,K100000000JPN1111111
BDE,DNK,D300000000DNK1111111
EIX,IND,R100000000IND1111111
CXH,TJK,A000000000TJK1111111
LFX,KGZ,J400000000KGZ1111111
EQR,BFA,M400000000BFA1111111
SWI,NIC,G300000000NIC1111111
JOZ,MRT,H100000000MRT1111111
TKA,MSR,G200000000MSR1111111
NUN,SVN,H200000000SVN1111111
XXB,MDA,H000000000MDA1111111
AFY,HND,K400000000HND1111111
GXD,BHR,F300000000BHR1111111
MWD,QAT,F100000000QAT1111111
ELN,ATA,L300000000ATA1111111
YFR,NIU,S200000000NIU1111111
VIP,BTN,H200000000BTN1111111
WDI,UMI,A100000000UMI1111111
QKI,COG,B000000000COG1111111
KPB,ERI,T300000000ERI1111111
FKS,MDA,T100000000MDA1111111
DOP,SGS,M100000000SGS1111111
FBM,BVT,T300000000BVT1111111
BSQ,CUB,O300000000CUB1111111
OGL,PRY,D400000000PRY1111111
WTX,AZE,N000000000AZE1111111
HMS,THA,K300000000THA1111111
HPE,AZE,M000000000AZE1111111
VOU,ALA,L100000000ALA1111111
SFH,KEN,E200000000KEN1111111
COE,MAR,F200000000MAR1111111
VPX,BES,T400000000BES1111111
CND,PAK,C000000000PAK1111111
QSH,SUR,L200000000SUR1111111
PQF,GRC,T000000000GRC1111111
RNY,HTI,A300000000HTI1111111
SLK,TJK,L300000000TJK1111111
YXW,SVN,D100000000SVN1111111
UDQ,MYT,B000000000MYT1111111
IFA,KEN,S100000000KEN1111111
RMH,MLT,E400000000MLT1111111
PFZ,IRL,M400000000IRL1111111
CXK,COG,F200000000COG1111111
TVL,PLW,P400000000PLW1111111
PNU,ZWE,P300000000ZWE1111111
NFT,ISR,I400000000ISR1111111
ROG,MDV,R100000000MDV1111111
JEB,ARG,F100000000ARG1111111
FSC,PHL,K200000000PHL1111111
KCP,BHR,P200000000BHR1111111
UAU,MYT,B100000000MYT1111111
JRU,COL,J000000000COL1111111
ZKB,GBR,B200000000GBR1111111
GZO,SPM,E100000000SPM1111111
KRC,JOR,S400000000JOR1111111
XMN,ATG,P300000000ATG1111111
OBD,SMR,N400000000SMR1111111
XPF,PAN,G200000000PAN1111111
YXO,KIR,E300000000KIR1111111
KJW,MNP,B000000000MNP1111111
SDK,MNP,J300000000MNP1111111
KEF,SUR,I300000000SUR1111111
VRG,TTO,N300000000TTO1111111
KEB,KIR,T000000000KIR1111111
LAN,ASM,K400000000ASM1111111
ZXS,JAM,L300000000JAM1111111
XWA,REU,A300000000REU1111111
UKF,AZE,H300000000AZE1111111
PKU,CHL,B000000000CHL1111111
QLA,PHL,M000000000PHL1111111
CSD,MDA,E000000000MDA1111111
KFS,CHE,J200000000CHE1111111
CMM,ISL,N300000000ISL1111111
HWA,SEN,J000000000SEN1111111
WGD,COG,Q100000000COG1111111
VNX,LIE,H100000000LIE1111111
LGC,AUT,B400000000AUT1111111
UEB,LKA,M100000000LKA1111111
GYC,COD,P200000000COD1111111
BPN,GBR,T300000000GBR1111111
PDB,CHL,M200000000CHL1111111
ZBZ,FRA,P300000000FRA1111111
HHY,CHL,N300000000CHL1111111
JZL,BGD,A100000000BGD1111111
HRH,GIB,A400000000GIB1111111
RNP,FIN,I000000000FIN1111111
OEA,KAZ,K200000000KAZ1111111
FRC,DOM,I400000000DOM1111111
ZDB,TCA,I200000000TCA1111111
FMV,NOR,B100000000NOR1111111
YVZ,MSR,I000000000MSR1111111
SSO,VAT,J400000000VAT1111111
MTT,PHL,I000000000PHL1111111
XZL,AND,A300000000AND1111111
NIV,AZE,J400000000AZE1111111
NJW,TGO,M400000000TGO1111111
EYM,SXM,S000000000SXM1111111
UNV,HTI,O100000000HTI1111111
BMV,DMA,O000000000DMA1111111
CZS,MLT,K300000000MLT1111111
JSQ,BLZ,R300000000BLZ1111111
DJV,ARM,L100000000ARM1111111
GDT,CHL,C300000000CHL1111111
PWY,SXM,C000000000SXM1111111
RYY,BRB,N200000000BRB1111111
EEF,DEU,J000000000DEU1111111
YCD,HKG,R200000000HKG1111111
TZK,GRC,J300000000GRC1111111
ZUV,TCD,G300000000TCD1111111
YVZ,NGA,N300000000NGA1111111
ONQ,VIR,D400000000VIR1111111
QBG,HKG,B000000000HKG1111111
VFY,CCK,E200000000CCK1111111
EMZ,MDG,O100000000MDG1111111
TEM,PRT,Q400000000PRT1111111
ISA,DNK,C300000000DNK1111111
XXG,MWI,O100000000MWI1111111
HAW,ALB,S100000000ALB1111111
KQR,BRA,M100000000BRA1111111
INN,NPL,M000000000NPL1111111
AFY,ATG,R100000000ATG1111111
WXV,ERI,Q300000000ERI1111111
WGL,LCA,Q100000000LCA1111111
ZUS,KOR,N000000000KOR1111111
ZER,MUS,N300000000MUS1111111
IVG,PHL,N300000000PHL1111111
LDS,LIE,J200000000LIE1111111
MHX,BVT,C000000000BVT1111111
EOD,RUS,C300000000RUS1111111
KNJ,FRA,O000000000FRA1111111
YYJ,EST,B000000000EST1111111
QUJ,IRQ,H200000000IRQ1111111
XIY,NIU,Q000000000NIU1111111
TIA,MAR,P400000000MAR1111111
OLU,IDN,K200000000IDN1111111
UJH,COG,F400000000COG1111111
WFP,TLS,N300000000TLS1111111
QGK,SDN,R300000000SDN1111111
FEN,TUN,K400000000TUN1111111
PVZ,CCK,Q100000000CCK1111111
APR,PYF,T000000000PYF1111111
OXY,VEN,N300000000VEN1111111
FTU,LIE,M200000000LIE1111111
ORL,TZA,Q000000000TZA1111111
TQV,ERI,R400000000ERI1111111
RLT,MAR,F300000000MAR1111111
KFD,UGA,O100000000UGA1111111
SUU,AND,O000000000AND1111111
RSU,IMN,P100000000IMN1111111
MZI,AUT,K100000000AUT1111111
HZU,ECU,T300000000ECU1111111
